id,true_label,pred_label,method,method_full,alpha_adaptive,top_tokens,text
3,1,1,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.5350452084417819,"[[""Ġplayful"", 0.4208615018578946], [""Ġfeel"", 0.33681432523012284], [""Ġand"", 0.04253626547219407], [""i"", 0.03145884855065966], [""Ġi"", 0.023477114422026584], [""ymes"", 0.0189707627719344], [""Ġknow"", 0.01299304252649057], [""Ġrh"", 0.012933208913555535], [""Ġyounger"", 0.012282748923989346], [""Ġam"", 0.012000221608177626]]",i am much younger than that by at least two years but you know i feel playful and rhymes
4,4,5,Attention,attention,,"[[""Ġfeeling"", 0.4376668455906288], [""Ġweird"", 0.4376668455906288], [""Ġmood"", 0.03774726951503031], [""y"", 0.03774726951503031], [""Ġand"", 0.02375009031458907], [""Ġannoyed"", 0.02375009031458907], [""Ġweek"", 0.0008335319389401638], [""Ġall"", 0.0008335319389401638], [""Ġhad"", 2.1131578791827513e-06], [""Ġbeen"", 2.1131578791827513e-06]]",i had been feeling weird all week moody and annoyed
4,4,5,Integrated Gradients,ig,,"[[""Ġweird"", 0.3501415220449116], [""Ġfeeling"", 0.12823705785289624], [""Ġall"", 0.12002052261134813], [""Ġannoyed"", 0.10754660040529683], [""Ġmood"", 0.055958002793614126], [""Ġbeen"", 0.04841141220476184], [""y"", 0.04681681385087035], [""i"", 0.04194928703427568], [""Ġweek"", 0.04169854483618633], [""Ġand"", 0.036989805302677724]]",i had been feeling weird all week moody and annoyed
4,4,5,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġweird"", 0.4362215305132354], [""Ġfeeling"", 0.31872865483033525], [""Ġannoyed"", 0.05942270408865057], [""Ġall"", 0.052277354339083586], [""Ġmood"", 0.04050616429774629], [""y"", 0.03566613289074253], [""Ġand"", 0.02206464197953246], [""Ġbeen"", 0.013863264630147143], [""Ġweek"", 0.010807821801814905], [""i"", 0.010440642109923537]]",i had been feeling weird all week moody and annoyed
4,4,5,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.4456511042600655,"[[""Ġweird"", 0.38914727913378], [""Ġfeeling"", 0.26613478444917443], [""Ġannoyed"", 0.0702025931502332], [""Ġall"", 0.06690470860475539], [""Ġmood"", 0.047842369398627724], [""y"", 0.042774961402467615], [""Ġand"", 0.031089511698147478], [""Ġbeen"", 0.02683775462806285], [""Ġweek"", 0.02348700671292676], [""i"", 0.023254674178996123]]",i had been feeling weird all week moody and annoyed
5,0,0,Attention,attention,,"[[""Ġfeel"", 0.45126190812716577], [""Ġmiserable"", 0.45126190812716577], [""Ġand"", 0.04774209310788163], [""Ġuncomfortable"", 0.04774209310788163], [""Ġdepressed"", 0.0004940676223947956], [""Ġdisgusting"", 0.0004940676223947956], [""Ġi"", 0.0004386956279784597], [""Ġit"", 0.0004386956279784597], [""Ġand"", 2.5934714899615407e-05], [""Ġguilty"", 2.5934714899615407e-05]]",i get too uncomfortable and if i force myself to go through with it i feel miserable depressed disgusting and guilty for days
5,0,0,Integrated Gradients,ig,,"[[""Ġmiserable"", 0.21645884579752894], [""Ġfeel"", 0.1906286639640205], [""Ġuncomfortable"", 0.11918663929590023], [""Ġdepressed"", 0.0713076735136039], [""Ġtoo"", 0.05355966745448166], [""i"", 0.04828033013290202], [""Ġi"", 0.04820085662807298], [""Ġand"", 0.04053788831185535], [""Ġit"", 0.033489068126779355], [""Ġget"", 0.02893007265217408]]",i get too uncomfortable and if i force myself to go through with it i feel miserable depressed disgusting and guilty for days
5,0,0,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġmiserable"", 0.36752941615760515], [""Ġfeel"", 0.35567628923731925], [""Ġuncomfortable"", 0.08077815410472539], [""Ġand"", 0.04468728825079248], [""Ġdepressed"", 0.03045803117020577], [""Ġtoo"", 0.02203150330281397], [""Ġi"", 0.019821396672723268], [""i"", 0.019601840383535345], [""Ġit"", 0.013070352585839615], [""Ġget"", 0.010729309804189515]]",i get too uncomfortable and if i force myself to go through with it i feel miserable depressed disgusting and guilty for days
5,0,0,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.4891483870298349,"[[""Ġmiserable"", 0.33131238500573656], [""Ġfeel"", 0.3181169949527761], [""Ġuncomfortable"", 0.0842396547659524], [""Ġand"", 0.044061813467664204], [""Ġdepressed"", 0.03666931241215256], [""Ġtoo"", 0.027372651229611432], [""Ġi"", 0.02483807261381746], [""i"", 0.024669949693659397], [""Ġit"", 0.017322531728255684], [""Ġget"", 0.01479058299805101]]",i get too uncomfortable and if i force myself to go through with it i feel miserable depressed disgusting and guilty for days
6,0,0,Attention,attention,,"[[""Ġdumb"", 0.47918290734508284], [""Ġits"", 0.47918290734508284], [""Ġi"", 0.014710998597726893], [""Ġknow"", 0.014710998597726893], [""Ġbecause"", 0.005921497157756705], [""Ġfeeling"", 0.005921497157756705], [""Ġthat"", 0.00015727011078303757], [""Ġsquash"", 0.00015727011078303757], [""i"", 2.833969378328271e-05], [""Ġto"", 1.3156941758899408e-05]]",i try to squash that feeling because i know its dumb
6,0,0,Integrated Gradients,ig,,"[[""Ġdumb"", 0.4383969959555063], [""Ġits"", 0.17824735094769067], [""Ġknow"", 0.07903163774770043], [""Ġfeeling"", 0.07168907545183024], [""i"", 0.07019615488243548], [""Ġtry"", 0.04326920381359745], [""Ġi"", 0.03754660385698208], [""Ġsquash"", 0.024966040778467112], [""Ġthat"", 0.021328213728970504], [""Ġto"", 0.017843659165871217]]",i try to squash that feeling because i know its dumb
6,0,0,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġdumb"", 0.49600231762553526], [""Ġits"", 0.3671618351972027], [""Ġknow"", 0.039301246580102214], [""Ġfeeling"", 0.03039033969685119], [""i"", 0.026114556629012586], [""Ġi"", 0.018755564959528404], [""Ġtry"", 0.01276973126324589], [""Ġsquash"", 0.003791473747457276], [""Ġbecause"", 0.0035455172594036407], [""Ġthat"", 0.0019898207333472638]]",i try to squash that feeling because i know its dumb
6,0,0,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.46722555646150754,"[[""Ġdumb"", 0.45745321610029094], [""Ġits"", 0.3188521337445156], [""Ġknow"", 0.048979391328894215], [""Ġfeeling"", 0.04096078208625597], [""i"", 0.03741195838522924], [""Ġi"", 0.02687722548259125], [""Ġtry"", 0.023058873243577634], [""Ġsquash"", 0.013374749098132495], [""Ġbecause"", 0.012082269872142825], [""Ġthat"", 0.011436607816147663]]",i try to squash that feeling because i know its dumb
7,3,3,Attention,attention,,"[[""Ġfeeling"", 0.49899738047391873], [""Ġdissatisfied"", 0.49899738047391873], [""Ġam"", 0.0009389185529437385], [""Ġi"", 0.0009389185529437385], [""Ġhence"", 2.5360779528853622e-05], [""Ġmorning"", 2.5360779528853622e-05], [""Ġhigh"", 2.26427838797981e-05], [""Ġthis"", 2.26427838797981e-05], [""i"", 1.9613794827220205e-05], [""Ġset"", 3.209205861042823e-06]]",i think my expectations were set too high this morning hence i am feeling dissatisfied
7,3,3,Integrated Gradients,ig,,"[[""Ġdissatisfied"", 0.5203251557247236], [""Ġfeeling"", 0.17034642902600294], [""Ġhigh"", 0.042367616622813735], [""i"", 0.04086728966937138], [""Ġam"", 0.03756357030943657], [""Ġi"", 0.026993932468114885], [""Ġhence"", 0.02523881769380758], [""Ġexpectations"", 0.02266758504647594], [""Ġmy"", 0.020130783812716678], [""Ġtoo"", 0.01886163796480386]]",i think my expectations were set too high this morning hence i am feeling dissatisfied
7,3,3,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġdissatisfied"", 0.5523723927851609], [""Ġfeeling"", 0.37778752077408667], [""Ġhigh"", 0.01455844529689699], [""i"", 0.01380819842767347], [""Ġam"", 0.012711744955641176], [""Ġi"", 0.007439141997350284], [""Ġhence"", 0.006015473421690661], [""Ġexpectations"", 0.004718855009599561], [""Ġmy"", 0.0034525095417019007], [""Ġtoo"", 0.0028209629792526267]]",i think my expectations were set too high this morning hence i am feeling dissatisfied
7,3,3,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.48718359039797077,"[[""Ġdissatisfied"", 0.5099346136028355], [""Ġfeeling"", 0.33045977954010775], [""Ġhigh"", 0.021737840232653755], [""i"", 0.020966972277398386], [""Ġam"", 0.019720640969633045], [""Ġi"", 0.014300357241052717], [""Ġhence"", 0.012955235227964731], [""Ġexpectations"", 0.011625318681139165], [""Ġmy"", 0.010323693462560613], [""Ġtoo"", 0.00967412093275775]]",i think my expectations were set too high this morning hence i am feeling dissatisfied
8,1,2,Attention,attention,,"[[""Ġfaithful"", 0.995816199711851], [""i"", 0.0015118692609777393], [""Ġfeel"", 0.0013359655135856542], [""Ġim"", 0.0013359655135856542]]",i feel im faithful
8,1,2,Integrated Gradients,ig,,"[[""Ġfaithful"", 0.7398707101737437], [""Ġim"", 0.21014002414317762], [""i"", 0.027578967613942164], [""Ġfeel"", 0.022410298069136504]]",i feel im faithful
8,1,2,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġfaithful"", 0.9151368063763766], [""Ġim"", 0.08248603714550717], [""i"", 0.002377156478116245], [""Ġfeel"", 0.0]]",i feel im faithful
8,1,2,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.5402983275261587,"[[""Ġfaithful"", 0.878157630109047], [""Ġim"", 0.09732354048493509], [""i"", 0.013494957970375598], [""Ġfeel"", 0.011023871435642303]]",i feel im faithful
9,0,0,Attention,attention,,"[[""Ġawkward"", 0.49902314609384196], [""Ġfeel"", 0.49902314609384196], [""Ġculture"", 0.000975863887421311], [""Ġand"", 0.000975863887421311], [""i"", 1.6230708919183279e-06], [""Ġkeep"", 1.7848329076759409e-07], [""Ġmy"", 1.7848329076759409e-07]]",i keep my culture and feel awkward
9,0,0,Integrated Gradients,ig,,"[[""Ġawkward"", 0.5686066574404144], [""Ġfeel"", 0.2155771328838937], [""Ġculture"", 0.05244729811082765], [""i"", 0.048793751410682644], [""Ġand"", 0.047259505785685434], [""Ġkeep"", 0.04387719772046758], [""Ġmy"", 0.02343845664802858]]",i keep my culture and feel awkward
9,0,0,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġawkward"", 0.5602817760042709], [""Ġfeel"", 0.39135414558620657], [""Ġculture"", 0.014466389367033193], [""i"", 0.012133590973203753], [""Ġand"", 0.011983986611376465], [""Ġkeep"", 0.009780111457909255], [""Ġmy"", 0.0]]",i keep my culture and feel awkward
9,0,0,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.5149705968188996,"[[""Ġawkward"", 0.5327731950735153], [""Ġfeel"", 0.3615434954725585], [""Ġculture"", 0.025941022909675353], [""i"", 0.023667239959476272], [""Ġand"", 0.023424791094384133], [""Ġkeep"", 0.021281822937264303], [""Ġmy"", 0.011368432553126166]]",i keep my culture and feel awkward
10,4,0,Attention,attention,,"[[""Ġabout"", 0.36406863832226555], [""Ġrubbish"", 0.36406863832226555], [""Ġvulnerable"", 0.2032434856843917], [""Ġalready"", 0.03255019187833578], [""Ġpretty"", 0.03255019187833578], [""Ġwhen"", 0.0009296923349893023], [""Ġim"", 0.0009296923349893023], [""Ġeven"", 0.0005723562908784114], [""Ġmore"", 0.0005723562908784114], [""Ġmyself"", 8.152683281536626e-05]]",i know itll most likely leave me feeling even more rubbish about myself at a time when im already pretty vulnerable
10,4,0,Integrated Gradients,ig,,"[[""Ġrubbish"", 0.4703074573825947], [""Ġabout"", 0.13240448827955378], [""Ġmore"", 0.12916908674580901], [""Ġvulnerable"", 0.08021630234960007], [""Ġpretty"", 0.028070176073612556], [""Ġeven"", 0.021016179477628648], [""Ġmyself"", 0.019816174641360738], [""Ġim"", 0.01644519966034164], [""Ġfeeling"", 0.013892783794492984], [""Ġlikely"", 0.013569083720982164]]",i know itll most likely leave me feeling even more rubbish about myself at a time when im already pretty vulnerable
10,4,0,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġrubbish"", 0.4152849048892223], [""Ġabout"", 0.27318882100755065], [""Ġvulnerable"", 0.15474670308693603], [""Ġmore"", 0.05372896141677611], [""Ġpretty"", 0.030401346035256044], [""Ġalready"", 0.023825416110693394], [""Ġeven"", 0.008248140031807388], [""Ġmyself"", 0.007449010255787789], [""Ġim"", 0.006540339478391496], [""Ġfeeling"", 0.004931403722387648]]",i know itll most likely leave me feeling even more rubbish about myself at a time when im already pretty vulnerable
10,4,0,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.4891406849092922,"[[""Ġrubbish"", 0.418341728663471], [""Ġabout"", 0.24572084930037486], [""Ġvulnerable"", 0.14039390306844116], [""Ġmore"", 0.06626719393398864], [""Ġpretty"", 0.03026153407273933], [""Ġalready"", 0.022272976082968292], [""Ġeven"", 0.01101627380189717], [""Ġmyself"", 0.010163155495845195], [""Ġim"", 0.00885593378050366], [""Ġfeeling"", 0.007115383801842268]]",i know itll most likely leave me feeling even more rubbish about myself at a time when im already pretty vulnerable
11,1,1,Attention,attention,,"[[""Ġfairly"", 0.37565446655160345], [""Ġcalm"", 0.37565446655160345], [""Ġhappy"", 0.11183846164395589], [""Ġand"", 0.11183846164395589], [""Ġwas"", 0.012116434454955721], [""Ġfeeling"", 0.012116434454955721], [""Ġconfident"", 0.0007059748426925671], [""i"", 7.52998562773472e-05]]",i was feeling fairly calm happy and confident
11,1,1,Integrated Gradients,ig,,"[[""Ġcalm"", 0.39481675855492915], [""Ġhappy"", 0.18504460042106105], [""Ġfairly"", 0.1701670864085017], [""Ġconfident"", 0.0824070475110277], [""Ġand"", 0.04909776811572225], [""Ġfeeling"", 0.04593189853627287], [""i"", 0.04540432969959825], [""Ġwas"", 0.027130510752887027]]",i was feeling fairly calm happy and confident
11,1,1,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġcalm"", 0.41332851669938975], [""Ġfairly"", 0.2985584929286494], [""Ġhappy"", 0.14777416956922942], [""Ġand"", 0.07832104717575118], [""Ġconfident"", 0.028618556054633496], [""Ġfeeling"", 0.01683437214315346], [""i"", 0.009335809907299724], [""Ġwas"", 0.007229035521893604]]",i was feeling fairly calm happy and confident
11,1,1,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.4285649006354255,"[[""Ġcalm"", 0.38660447278657684], [""Ġfairly"", 0.258231765061364], [""Ġhappy"", 0.1536710188301478], [""Ġand"", 0.07598622720344739], [""Ġconfident"", 0.04739283542111498], [""Ġfeeling"", 0.03143977753232239], [""i"", 0.025977898528895187], [""Ġwas"", 0.0206960046361314]]",i was feeling fairly calm happy and confident
12,1,2,Attention,attention,,"[[""Ġpassionate"", 0.4375145689586792], [""Ġabout"", 0.4375145689586792], [""Ġbringing"", 0.05280148890009764], [""Ġlight"", 0.05280148890009764], [""Ġto"", 0.006844082045647448], [""Ġthe"", 0.006844082045647448], [""Ġrape"", 0.002119901465781259], [""Ġculture"", 0.002119901465781259], [""Ġa"", 0.0003033387464353005], [""Ġgrowing"", 0.0003033387464353005]]",i feel so passionate about bringing light to the rape culture that seems to be a growing global pandemic
12,1,2,Integrated Gradients,ig,,"[[""Ġpassionate"", 0.3856587546108393], [""Ġabout"", 0.15551591873773726], [""Ġso"", 0.1327475330847106], [""i"", 0.04180348366972935], [""Ġlight"", 0.03913804337882674], [""Ġrape"", 0.03476284763705306], [""Ġfeel"", 0.03357627886923133], [""Ġthe"", 0.028924337025685552], [""Ġbringing"", 0.027771148391488868], [""Ġculture"", 0.02466061195303481]]",i feel so passionate about bringing light to the rape culture that seems to be a growing global pandemic
12,1,2,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġpassionate"", 0.4271593491769032], [""Ġabout"", 0.3280335596677488], [""Ġso"", 0.05564053825894247], [""Ġlight"", 0.04700305537813358], [""Ġbringing"", 0.04210717219492299], [""i"", 0.016519226679575283], [""Ġthe"", 0.015020218297285894], [""Ġrape"", 0.01469949325311288], [""Ġfeel"", 0.012926069944391863], [""Ġto"", 0.011602903649876373]]",i feel so passionate about bringing light to the rape culture that seems to be a growing global pandemic
12,1,2,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.43165920734016716,"[[""Ġpassionate"", 0.4080427943282067], [""Ġabout"", 0.2772432325631061], [""Ġso"", 0.0754530402949328], [""Ġlight"", 0.045035995442074095], [""Ġbringing"", 0.038575725334889406], [""i"", 0.02380148666063844], [""Ġrape"", 0.020672219367514132], [""Ġthe"", 0.019393191663133524], [""Ġfeel"", 0.01908997106503752], [""Ġculture"", 0.014930706731222747]]",i feel so passionate about bringing light to the rape culture that seems to be a growing global pandemic
13,2,2,Attention,attention,,"[[""Ġtender"", 0.4764431066316082], [""Ġsymptoms"", 0.4764431066316082], [""Ġbreasts"", 0.012483128073552684], [""Ġblo"", 0.012483128073552684], [""ating"", 0.0033830743752176766], [""Ġheadaches"", 0.0033830743752176766], [""Ġlower"", 0.003362910388976483], [""Ġback"", 0.003362910388976483], [""Ġthe"", 0.0032461034462358714], [""Ġstronger"", 0.0032461034462358714]]",i started feeling the stronger symptoms tender breasts bloating headaches lower back pain etc
13,2,2,Integrated Gradients,ig,,"[[""Ġtender"", 0.36797401473337993], [""Ġsymptoms"", 0.17313599363755783], [""Ġbreasts"", 0.12736046925541794], [""Ġstronger"", 0.07442903014632858], [""Ġfeeling"", 0.05315829849006179], [""i"", 0.03181139044184096], [""Ġheadaches"", 0.030647514313218525], [""Ġblo"", 0.025915228324305994], [""ating"", 0.021676875809106894], [""Ġthe"", 0.020444949720628623]]",i started feeling the stronger symptoms tender breasts bloating headaches lower back pain etc
13,2,2,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġtender"", 0.4519830818091422], [""Ġsymptoms"", 0.3618258896785441], [""Ġbreasts"", 0.06223776330935878], [""Ġstronger"", 0.032202032695831544], [""Ġfeeling"", 0.02042423404061391], [""Ġblo"", 0.015296113902731813], [""Ġheadaches"", 0.012025249578214022], [""i"", 0.010538121438724703], [""ating"", 0.007874275478802602], [""Ġthe"", 0.0072220360629369155]]",i started feeling the stronger symptoms tender breasts bloating headaches lower back pain etc
13,2,2,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.44975593184392904,"[[""Ġtender"", 0.4167586322363324], [""Ġsymptoms"", 0.30955016687708886], [""Ġbreasts"", 0.07569370362441517], [""Ġstronger"", 0.04241408661695029], [""Ġfeeling"", 0.029259527152677354], [""Ġblo"", 0.01987406155940737], [""Ġheadaches"", 0.018385170722700125], [""i"", 0.017507311417209157], [""ating"", 0.013449130098240246], [""Ġthe"", 0.012709666587848625]]",i started feeling the stronger symptoms tender breasts bloating headaches lower back pain etc
14,4,4,Attention,attention,,"[[""Ġyou"", 0.49987835902854777], [""Ġtortured"", 0.49987835902854777], [""Ġi"", 9.062109919975475e-05], [""Ġve"", 9.062109919975475e-05], [""i"", 1.1701306441725723e-05], [""Ġwith"", 9.034938818343605e-06], [""Ġmy"", 9.034938818343605e-06], [""Ġram"", 6.558195641470176e-06], [""bl"", 6.558195641470176e-06], [""ings"", 6.429405216374471e-06]]",i feel like i ve tortured you with my ramblings
14,4,4,Integrated Gradients,ig,,"[[""Ġtortured"", 0.4496863118687997], [""Ġve"", 0.17739343073762642], [""Ġyou"", 0.14017553813751704], [""Ġram"", 0.03476801352533959], [""bl"", 0.03384015092870286], [""Ġfeel"", 0.02915019405722368], [""Ġwith"", 0.026636159675864978], [""Ġmy"", 0.02543626964531074], [""i"", 0.02539423084921085], [""ings"", 0.02333196871690155]]",i feel like i ve tortured you with my ramblings
14,4,4,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġtortured"", 0.5048192240179857], [""Ġyou"", 0.35989501741917995], [""Ġve"", 0.07742625324413209], [""Ġram"", 0.010593401523596517], [""bl"", 0.010158942493207375], [""Ġfeel"", 0.00796281593273299], [""Ġwith"", 0.006787257812412991], [""Ġmy"", 0.006225425639052641], [""i"", 0.006207341487738196], [""ings"", 0.00523855193451376]]",i feel like i ve tortured you with my ramblings
